bv2022;nb_docteurs_pondere;population_2023_bv
42149;0.0;15870.0
42165;0.0;5752.0
42168;0.0;9606.0
42182;0.0;20871.0
42186;0.0;38248.0
42187;7.707692305;89657.0
42204;0.0;6759.0
42218;20.759523808;364028.0
42222;0.0;10259.0
42230;0.0;6958.0
42279;4.366666666;68695.0
43040;0.0;14663.0
43051;0.0;7942.0
43080;0.0;12559.0
43087;0.0;8468.0
43112;0.0;12397.0
43137;0.0;22221.0
43157;8.125;74523.0
43162;0.0;4633.0
43200;0.0;4693.0
43216;0.0;6374.0
43224;0.0;8455.0
43234;0.0;3474.0
43244;0.0;4580.0
43268;1.125;16190.0
44002;0.0;18356.0
44003;3.783333332;35629.0
44015;0.0;17858.0
44036;2.5;32478.0
44043;1.0;27060.0
44051;0.25;8049.0
44055;3.7916666699999997;57413.0
44067;0.0;13727.0
44072;0.842857143;25677.0
44073;0.0;8945.0
44081;0.0;23454.0
44082;0.0;13233.0
44084;0.842857143;23687.0
44087;4.033333331;18231.0
44109;65.903571419;722046.0
44110;0.833333333;21655.0
44113;1.0;18090.0
44120;0.0;11555.0
44129;1.66666667;43793.0
44131;2.2;39085.0
44154;1.66666667;31310.0
44158;2.0;20459.0
44180;0.0;8369.0
44184;9.583333343;125594.0
44186;0.0;22820.0
44188;0.0;27559.0
44195;0.0;30802.0
44209;0.0;20267.0
44212;1.342857142;26553.0
44213;0.0;7587.0
45028;0.0;23429.0
45030;0.0;11610.0
45031;0.0;6879.0
45053;0.5;15789.0
45082;0.0;21332.0
45085;1.0;12329.0
45115;0.0;11441.0
45145;0.0;9442.0
45146;0.0;14962.0
45155;1.3333333330000001;24588.0
45173;0.0;19989.0
45187;0.0;9472.0
45191;0.0;10642.0
45203;0.0;23393.0
45208;4.999999999;69874.0
45224;0.0;21379.0
45234;26.999999995;319071.0
45248;0.0;8814.0
45252;0.5;25420.0
45258;0.0;9117.0
45315;0.0;21486.0
46042;8.185714284;49887.0
46045;0.0;6856.0
46063;0.0;1994.0
46102;1.0;23215.0
